SALES,QUANTITY_SOLD,YEAR_GROUP
57310.19404,1392,2015
134540.2145,3268,2015
200193.612,4862,2015
171469.9305,4165,2015
151737.2188,3685,2015
102072.4434,2479,2015
82514.10512,2005,2015
46211.33246,1122,2015
85730.41481,2082,2015
105918.2933,2573,2015
73041.66087,1774,2015
97908.5471,2378,2015
138667.4159,3677,2015
162162.1035,4299,2015
138520.1268,3674,2015
358597.4285,9505,2015
424009.8825,11237,2015
203861.4724,5406,2015
220506.2093,5846,2015
139935.937,3713,2015
161064.7523,4270,2015
144328.5452,3827,2015
293071.7592,7770,2015
267782.154,7102,2015
136052.6884,3608,2015
86703.31409,2150,2015
95474.35737,2530,2015
198431.6275,5253,2015
157291.734,4171,2015
307540.6752,8156,2015
350898.7635,9296,2015
256701.5427,6803,2015
234705.5928,6221,2015
249380.5654,6611,2015
258211.4442,6843,2015
145975.8339,3858,2015
269239.8526,7128,2015
306920.2116,8127,2015
122106.7956,2966,2015
117661.2808,2858,2015
62499.79917,1518,2015
57063.98412,1386,2015
48008.48284,1166,2015
117446.8391,2853,2015
150591.5479,3657,2015
67152.47495,1631,2015
80635.28925,1959,2015
50669.6371,1230,2015
48648.99266,1182,2015
43213.17762,1050,2015
96881.01809,2353,2015
121360.8851,2947,2015
66954.36637,1626,2015
81342.15076,1976,2015
125060.7079,3312,2015
253218.8312,6704,2015
229184.4719,6077,2015
354191.351,9386,2015
459484.6666,12181,2015
224102.8885,5937,2015
215203.5588,5706,2015
355534.912,9421,2015
498894.3439,13207,2015
715032.1899,18936,2015
510289.2156,13503,2015
400302.0395,10600,2015
135578.2034,3591,2015
182466.2552,4836,2015
176814.2026,4348,2015
100917.6716,2451,2015
74690.67273,1814,2015
114067.0771,2770,2015
126507.8009,3072,2015
79648.62939,1934,2015
83137.43243,2019,2015
40776.02706,979,2015
58278.45793,1398,2015
50000.10144,1198,2015
103911.9191,2485,2015
132843.2226,3172,2015
62786.61128,1497,2015
57233.40664,1365,2015
56874.34546,1353,2015
132737.737,3439,2015
60310.33895,1434,2015
343587.0085,8892,2015
496882.315,13144,2015
200369.8299,5179,2015
194028.0618,5014,2015
190560.5792,4936,2015
198985.3996,5150,2015
385482.872,9986,2015
499703.4147,12937,2015
461667.0039,12217,2015
259541.6087,6721,2015
320309.2744,8283,2015
239922.9982,6191,2015
224994.1951,5959,2015
117197.9717,2848,2015
330589.1998,8748,2015
389972.1198,10329,2015
166536.0003,4410,2015
198442.9127,5257,2015
193182.1506,5118,2015
166403.127,4410,2015
149178.6015,3952,2015
380592.5776,10084,2015
413700.1789,10964,2015
177159.6731,4695,2015
196420.7635,5205,2015
137940.8722,3638,2015
166176.2838,4394,2015
84604.37757,2012,2015
321821.0203,8526,2015
418715.4106,11096,2015
169541.2659,4489,2015
256434.5099,6795,2015
199385.9124,5283,2015
243554.2243,6453,2015
217746.0129,5770,2015
472160.7521,12507,2015
546135.4624,14475,2015
264637.3653,7009,2015
440905.9987,11688,2015
334318.8978,8863,2015
269835.8286,7148,2015
201146.4893,5326,2015
293461.0839,7775,2015
349413.0098,9255,2015
179602.9152,4758,2015
109810.5457,2613,2015
76956.92035,1830,2015
71199.5884,1694,2015
68988.34667,1642,2015
155156.8792,3690,2015
185109.5231,4404,2015
83779.54401,1992,2015
149501.5745,3557,2015
100477.2968,2395,2015
89072.70535,2120,2015
78746.59586,1875,2015
141913.3824,3376,2015
169304.2783,4027,2015
89512.24284,2128,2015
85984.07534,2046,2015
64956.46208,1546,2015
106613.4328,2822,2015
183843.8173,4865,2015
319579.7941,8450,2015
369245.7587,9770,2015
185648.4911,4914,2015
165557.7618,4385,2015
212465.0832,5627,2015
305231.9081,8086,2015
250481.6177,6639,2015
268410.4807,7104,2015
316365.4987,8364,2015
156873.0437,4146,2015
173987.7515,4601,2015
135753.766,3593,2015
84426.50941,2114,2015
70815.19029,1797,2015
125983.1518,3195,2015
142378.184,3595,2015
57427.68071,1467,2015
63331.331,1610,2015
51241.02855,1307,2015
80326.44081,2050,2015
71912.56573,1849,2015
119204.3095,3070,2015
129441.2787,3322,2015
77645.74994,1982,2015
69926.65036,1787,2015
71973.0443,1846,2015
44304.89836,1142,2015
66799.72373,1734,2015
125689.5928,3259,2015
138624.945,3572,2015
81715.04533,2109,2015
86842.86136,2242,2015
56976.78528,1474,2015
53433.66803,1381,2015
55134.08182,1423,2015
145033.6108,3740,2015
173306.9065,4453,2015
88154.33871,2258,2015
81142.02785,2074,2015
77672.88278,2007,2015
75483.42255,1948,2015
74354.5701,1922,2015
120326.8763,3088,2015
131867.9935,3388,2015
75504.00274,1944,2015
69968.0777,1812,2015
60187.14905,1563,2015
44698.70075,1171,2015
39463.40906,1035,2015
85794.0969,2247,2015
117288.0101,3068,2015
71056.061,1866,2015
64394.07445,1690,2015
35165.97208,922,2015
23234.1832,604,2015
24754.95718,643,2015
76691.28303,2006,2015
102231.2118,2677,2015
56974.86803,1467,2015
59442.73112,1528,2015
217683.3623,6360,2015
275458.8069,8035,2015
228731.8655,6675,2015
387639.12,11330,2015
461188.0049,13484,2015
202249.6772,5913,2015
332559.765,9721,2015
384806.7716,11257,2015
345776.2503,10102,2015
271551.0951,7938,2015
340440.2055,9936,2015
364416.7316,10643,2015
164719.6045,4800,2015
178921.0993,5228,2015
70286.99781,1810,2015
76013.6779,1961,2015
48406.78715,1232,2015
85940.02694,2194,2015
57381.75145,1469,2015
32479.79639,829,2015
52160.18393,1329,2015
51002.83957,1300,2015
30194.71596,773,2015
29751.22261,760,2015
68504.63944,1755,2015
68996.56176,1766,2015
41855.92876,1078,2015
44303.46649,1124,2015
46599.29813,1182,2015
125182.7572,3725,2015
150036.805,4492,2015
368037.6919,11030,2015
351319.6381,10528,2015
163289.9367,4895,2015
190892.459,5720,2015
143082.1333,4288,2015
323548.7853,9693,2015
402312.3332,12065,2015
393635.1749,11758,2015
451100.0601,13508,2015
202902.6249,6085,2015
294557.6464,8828,2015
221618.3282,6636,2015
63968.38248,1622,2015
59609.54471,1512,2015
126588.253,3211,2015
119755.0116,3037,2015
57413.41048,1456,2015
57749.13694,1465,2015
40140.82003,1018,2015
42195.81736,1070,2015
53490.79747,1357,2015
110809.3158,2810,2015
111527.0135,2829,2015
59808.13867,1517,2015
55166.22623,1399,2015
42054.68047,1067,2015
53678.17911,1361,2015
55930.16864,1419,2015
185771.0015,5042,2015
253116.9132,6872,2015
118618.4537,3218,2015
123320.784,3347,2015
117051.2772,3177,2015
159299.9891,4532,2015
119047.4099,3231,2015
285081.9743,7731,2015
391656.2126,11148,2015
274814.7781,7459,2015
269555.0231,7316,2015
192001.0346,5211,2015
201367.787,5731,2015
111874.559,3036,2015
214540.3331,5822,2015
280264.2445,7987,2015
134136.7287,3640,2015
94243.46553,2338,2015
131436.1979,3744,2015
147893.9415,4216,2015
140238.3905,4000,2015
358183.774,10204,2015
377937.1387,10769,2015
168729.9624,4803,2015
177192.5698,5042,2015
152368.7491,4342,2015
147471.8049,4202,2015
145697.152,4151,2015
301033.9865,8567,2015
309518.0721,8811,2015
152504.6317,4345,2015
79711.58341,1937,2015
111021.3791,3160,2015
243161.2592,6924,2015
311443.1812,9273,2015
375876.0134,11257,2015
434639.659,13019,2015
238637.8164,7139,2015
260653.667,7423,2015
262394.78,7474,2015
248437.7113,7056,2015
201048.8305,5732,2015
317690.7609,9038,2015
378527.8726,10737,2015
195425.3911,5505,2015
90441.60337,2198,2015
117649.0006,3190,2015
141285.3955,3814,2015
133183.6937,3610,2015
229672.2563,6227,2015
333488.7979,9422,2015
185422.8856,5014,2015
173833.1332,4715,2015
220271.7214,6212,2015
234468.0712,6585,2015
213778.1381,6051,2015
273563.0148,7750,2015
337506.7884,9490,2015
155312.7839,4382,2015
289243.3831,8196,2015
313125.3325,8863,2015
268330.3927,6534,2015
392228.138,9540,2015
133728.9837,3256,2015
82778.44405,2013,2015
69522.83697,1692,2015
133021.2728,3234,2015
161267.5206,4592,2015
208583.218,5945,2015
325457.525,9266,2015
111650.2398,3179,2016
262421.2819,7479,2016
164527.5389,4694,2016
274990.1465,7843,2016
215737.8428,6150,2016
98646.9827,2401,2016
74401.21529,1808,2016
106592.343,2594,2016
134629.6582,3274,2016
90773.65306,2207,2016
121373.0682,2949,2016
99445.5571,2417,2016
67587.54693,1644,2016
61685.93524,1499,2016
150006.9298,3648,2016
191287.3535,4652,2016
92595.46084,2252,2016
96947.05429,2357,2016
70512.8945,1715,2016
159590.4901,4776,2016
67046.27342,1628,2016
266949.2388,7806,2016
315272.2248,9210,2016
149138.9215,4351,2016
215171.0382,6278,2016
205197.8984,5992,2016
214452.2484,6265,2016
195767.9736,5723,2016
397984.3293,11900,2016
512603.1035,15345,2016
218104.0669,6525,2016
339004.3369,10153,2016
278116.3693,8116,2016
264159.3006,7712,2016
197778.1337,5759,2016
325749.0089,9501,2016
371561.9764,10840,2016
174581.6768,5089,2016
208489.3694,6087,2016
84495.16667,2053,2016
76661.25003,1825,2016
64034.94046,1525,2016
148839.9749,3542,2016
172541.5079,4105,2016
87991.663,2094,2016
123445.3816,2940,2016
77344.69187,1841,2016
158963.0249,4529,2016
69598.07115,1658,2016
161275.6022,3841,2016
325215.0768,9260,2016
96957.29584,2308,2016
85224.47709,2028,2016
54612.87884,1301,2016
81530.61238,2213,2016
160947.5326,4404,2016
188736.2474,4935,2016
215951.5079,5609,2016
134995.8545,3452,2016
163079.378,4270,2016
180828.6741,4719,2016
171196.1752,4451,2016
129719.0505,3364,2016
142127.6421,3665,2016
152124.4079,3889,2016
74132.78702,1882,2016
91143.02861,2405,2016
60528.09336,1577,2016
38340.59961,913,2016
37453.00618,892,2016
77997.04501,1855,2016
79752.28268,1897,2016
37155.58848,883,2016
45046.51321,1071,2016
55489.33276,1320,2016
41893.30316,997,2016
34348.50419,817,2016
78276.83122,1866,2016
92851.40266,2211,2016
54845.7893,1304,2016
48037.7999,1143,2016
65905.72326,1573,2016
84870.0513,2065,2016
262459.5057,6588,2016
228124.398,5652,2016
162929.4921,4103,2016
58359.83218,1466,2016
85605.33192,2162,2016
84836.41434,2155,2016
64308.91422,1746,2016
131168.4855,3554,2016
232410.198,6282,2016
195831.0975,5259,2016
90716.54789,2446,2016
131638.0196,3345,2016
81910.87262,2048,2016
54821.90851,1303,2016
155615.4194,4413,2016
